Y,X1,X2
0,Valdivia,Pinguino de Magallanes
7,Valdivia,Pinguino de Humboldt
3,Valdivia,Zarapito de Pico Recto
0,Valdivia,Yunco
0,Valdivia,Fardela Negra Grande
102,Valdivia,Pelícano
4,Valdivia,Gaviotín Monja
0,Valdivia,Cóndor
26,Valdivia,Pilpilén
4,Valdivia,Aguilucho de Cola Rojiza
4,Valdivia,Aguilucho Chico
20,Valdivia,Carpintero Negro
185,Valdivia,Rana Grande de Hojarasca
0,Valdivia,Rana de Pecho Espinoso
7,Valdivia,Rana Verde
0,Valdivia,Tortuga Verde
9,Valdivia,Marsopa Espinosa
17,Valdivia,Delfín Chileno
0,Valdivia,Ballena Azul
0,Valdivia,Ballena de Sei
4,Valdivia,Ballena de Aleta
40,Valdivia,Chungungo
29,Valdivia,Huillin
6,Valdivia,Pudu Sureño
1,Valdivia,Monito del Monte Sureño
2,Valdivia,Comadrejita Trompuda
0,Valdivia,Carpa Europea
0,Valdivia,Guiña
3,Valdivia,Pejerrey Chileno
21,Valdivia,Gaviota Garuma
6,Valdivia,Gaviotín Elegante
4,Valdivia,Fardela Blanca
6,Valdivia,Fardela Negra
0,Valdivia,Zorro Chilote
0,Valdivia,Lagartija del Volcán Villarica
8,Valdivia,Guanay
114,Valdivia,Lile
40,Valdivia,Culebra de Cola Corta
0,Valdivia,Chorlo Nevado
2,Corral,Pinguino de Magallanes
0,Corral,Pinguino de Humboldt
0,Corral,Zarapito de Pico Recto
2,Corral,Yunco
4,Corral,Fardela Negra Grande
26,Corral,Pelícano
3,Corral,Gaviotín Monja
0,Corral,Cóndor
20,Corral,Pilpilén
0,Corral,Aguilucho de Cola Rojiza
0,Corral,Aguilucho Chico
0,Corral,Carpintero Negro
14,Corral,Rana Grande de Hojarasca
19,Corral,Rana de Pecho Espinoso
0,Corral,Rana Verde
0,Corral,Tortuga Verde
0,Corral,Marsopa Espinosa
9,Corral,Delfín Chileno
17,Corral,Ballena Azul
8,Corral,Ballena de Sei
8,Corral,Ballena de Aleta
19,Corral,Chungungo
0,Corral,Huillin
12,Corral,Pudu Sureño
0,Corral,Monito del Monte Sureño
0,Corral,Comadrejita Trompuda
0,Corral,Carpa Europea
0,Corral,Guiña
2,Corral,Pejerrey Chileno
0,Corral,Gaviota Garuma
2,Corral,Gaviotín Elegante
7,Corral,Fardela Blanca
0,Corral,Fardela Negra
0,Corral,Zorro Chilote
0,Corral,Lagartija del Volcán Villarica
4,Corral,Guanay
21,Corral,Lile
14,Corral,Culebra de Cola Corta
2,Corral,Chorlo Nevado
0,Los Lagos,Pinguino de Magallanes
0,Los Lagos,Pinguino de Humboldt
0,Los Lagos,Zarapito de Pico Recto
0,Los Lagos,Yunco
0,Los Lagos,Fardela Negra Grande
0,Los Lagos,Pelícano
0,Los Lagos,Gaviotín Monja
0,Los Lagos,Cóndor
0,Los Lagos,Pilpilén
0,Los Lagos,Aguilucho de Cola Rojiza
0,Los Lagos,Aguilucho Chico
0,Los Lagos,Carpintero Negro
0,Los Lagos,Rana Grande de Hojarasca
18,Los Lagos,Rana de Pecho Espinoso
0,Los Lagos,Rana Verde
0,Los Lagos,Tortuga Verde
0,Los Lagos,Marsopa Espinosa
0,Los Lagos,Delfín Chileno
0,Los Lagos,Ballena Azul
0,Los Lagos,Ballena de Sei
0,Los Lagos,Ballena de Aleta
0,Los Lagos,Chungungo
0,Los Lagos,Huillin
22,Los Lagos,Pudu Sureño
9,Los Lagos,Monito del Monte Sureño
0,Los Lagos,Comadrejita Trompuda
0,Los Lagos,Carpa Europea
0,Los Lagos,Guiña
0,Los Lagos,Pejerrey Chileno
0,Los Lagos,Gaviota Garuma
0,Los Lagos,Gaviotín Elegante
0,Los Lagos,Fardela Blanca
0,Los Lagos,Fardela Negra
0,Los Lagos,Zorro Chilote
0,Los Lagos,Lagartija del Volcán Villarica
0,Los Lagos,Guanay
0,Los Lagos,Lile
0,Los Lagos,Culebra de Cola Corta
0,Los Lagos,Chorlo Nevado
7,La Unión,Pinguino de Magallanes
0,La Unión,Pinguino de Humboldt
0,La Unión,Zarapito de Pico Recto
0,La Unión,Yunco
0,La Unión,Fardela Negra Grande
0,La Unión,Pelícano
6,La Unión,Gaviotín Monja
0,La Unión,Cóndor
0,La Unión,Pilpilén
